"filename", "language", "XML", "Java", "Generic Pseudocode", "Markdown", "comment", "blank", "total"
"c:\School\oop\TDT4100_prosjekt_ingara\README.md", "Markdown", 0, 0, 0, 60, 0, 29, 89
"c:\School\oop\TDT4100_prosjekt_ingara\pom.xml", "XML", 47, 0, 0, 0, 1, 10, 58
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\Calculator.java", "Java", 0, 10, 0, 0, 22, 4, 36
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\ExampleProjectApp.java", "Java", 0, 17, 0, 0, 0, 7, 24
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\exampleproject\ExampleProjectController.java", "Java", 0, 26, 0, 0, 0, 8, 34
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\module-info.java", "Java", 0, 6, 0, 0, 0, 1, 7
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\BoardController.java", "Java", 0, 12, 0, 0, 0, 6, 18
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Chessboard.java", "Java", 0, 135, 0, 0, 5, 37, 177
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\ShadowBoard.java", "Java", 0, 11, 0, 0, 0, 9, 20
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Tile.java", "Java", 0, 53, 0, 0, 1, 32, 86
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\ChessApp.java", "Java", 0, 17, 0, 0, 0, 7, 24
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Files\FileHandler.java", "Java", 0, 3, 0, 0, 3, 5, 11
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Game.java", "Java", 0, 11, 0, 0, 0, 7, 18
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Movement\FindLegalMoves.java", "Java", 0, 188, 0, 0, 90, 76, 354
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Movement\Movement.java", "Java", 0, 356, 0, 0, 16, 138, 510
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Bishop.java", "Java", 0, 6, 0, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\King.java", "Java", 0, 6, 0, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Knight.java", "Java", 0, 6, 0, 0, 0, 2, 8
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Pawn.java", "Java", 0, 17, 0, 0, 12, 13, 42
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Piece.java", "Java", 0, 46, 0, 0, 1, 18, 65
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Queen.java", "Java", 0, 6, 0, 0, 0, 3, 9
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Rook.java", "Java", 0, 6, 0, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Test.java", "Java", 0, 9, 0, 0, 0, 5, 14
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\PlayerMove.pseudo", "Generic Pseudocode", 0, 0, 92, 0, 9, 57, 158
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\notater.pseudo", "Generic Pseudocode", 0, 0, 9, 0, 0, 0, 9
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\resources\exampleproject\App.fxml", "XML", 18, 0, 0, 0, 0, 3, 21
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\resources\project\Chessboard.fxml", "XML", 151, 0, 0, 0, 0, 3, 154
"c:\School\oop\TDT4100_prosjekt_ingara\src\test\java\exampleproject\CalculatorTest.java", "Java", 0, 25, 0, 0, 0, 9, 34
"Total", "-", 216, 972, 101, 60, 160, 501, 2010
